brand,brand_encoded
Audi,128275.89928057554
BMW,155630.16759776536
Chery,58122.4
Chevrolet,72236.36363636363
Citroën,56586.0
Dacia,38494.117647058825
Fiat,56680.21951219512
Ford,62905.8
GWM,82981.63265306123
Honda,110717.5
Hyundai,98467.55102040817
Jaguar,125428.57142857143
Jeep,136667.74193548388
KIA,81711.7231638418
Land Rover,192765.625
MG,73455.08771929824
Mahindra,31666.666666666668
Mazda,57861.53846153846
Mercedes-Benz,163498.24120603016
Mitsubishi,84111.11111111111
Nissan,66009.67741935483
Opel,50600.0
Peugeot,60874.933333333334
Porsche,192886.11111111112
Renault,57823.18965517241
Seat,76002.53968253969
Skoda,83010.64705882352
Ssangyong,60464.28571428572
Suzuki,61154.3023255814
Toyota,128203.0303030303
Volkswagen,78785.78680203046
Volvo,233066.66666666666
dfsk,56483.333333333336
geely,109625.0
