brand,model,price,kilometrage,body_type,fuel_type,transmission,puissance_fiscale,registration_year,new,fuel_type_simple,year_extracted
GWM,Haval Jolion,78000.0,113000.0,SUV,Essence,Automatique,9 cv,7.2021,no,essence,2021.0
Audi,A6,75000.0,160000.0,Berline,Essence,Automatique,10 cv,1.2016,no,essence,2016.0
Mercedes-Benz,Classe E,118000.0,140000.0,Berline,Diesel,Automatique,10 cv,10.2016,no,diesel,2016.0
Chevrolet,Groove,68000.0,67000.0,SUV,Essence,Automatique,6 cv,5.2022,no,essence,2022.0
Skoda,Fabia,47000.0,115000.0,Citadine,Essence,Manuelle,4 cv,5.2022,no,essence,2022.0
BMW,Série 1,44000.0,180000.0,Compacte,Essence,Manuelle,7 cv,5.2013,no,essence,2013.0
Citroën,C4 Cactus,42000.0,98000.0,Compacte,Essence,Manuelle,5 cv,5.2019,no,essence,2019.0
KIA,K2700,44000.0,120000.0,Pick up,Diesel,Manuelle,8 cv,5.2013,no,diesel,2013.0
Volkswagen,Golf 6,46000.0,146000.0,Compacte,Essence,Manuelle,5 cv,5.2012,no,essence,2012.0
Volkswagen,Golf 7,69000.0,132000.0,Compacte,Essence,Automatique,6 cv,9.2020,no,essence,2020.0
KIA,Picanto,45000.0,90000.0,Citadine,Essence,Manuelle,5 cv,5.2022,no,essence,2022.0
Jeep,Wrangler,145000.0,150000.0,SUV,Diesel,Automatique,13 cv,5.2015,no,diesel,2015.0
Mercedes-Benz,Classe E,85000.0,140000.0,Berline,Essence,Automatique,9 cv,5.2014,no,essence,2014.0
Suzuki,Swift,43500.0,95000.0,Citadine,Essence,Automatique,5 cv,5.2022,no,essence,2022.0
Peugeot,308,53000.0,136000.0,Compacte,Diesel,Manuelle,6 cv,6.2021,no,diesel,2021.0
KIA,Rio 5p,51000.0,93000.0,Citadine,Essence,Manuelle,5 cv,5.2022,no,essence,2022.0
KIA,Rio 5p,61000.0,61000.0,Citadine,Essence,Manuelle,5 cv,5.2022,no,essence,2022.0
Mahindra,KUV 100,29500.0,72000.0,SUV,Essence,Manuelle,5 cv,6.2019,no,essence,2019.0
Toyota,Agya,39800.0,60000.0,Citadine,Essence,Automatique,5 cv,5.2023,no,essence,2023.0
Nissan,Juke,78000.0,84000.0,SUV,Essence,Automatique,6 cv,5.2022,no,essence,2022.0
Suzuki,Ciaz,47000.0,112000.0,Berline,Essence,Automatique,6 cv,5.2020,no,essence,2020.0
Porsche,Cayenne,67000.0,214000.0,SUV,Essence,Automatique,21 cv,5.2009,no,essence,2009.0
Volkswagen,Polo,40000.0,197000.0,Citadine,Essence,Manuelle,4 cv,6.2019,no,essence,2019.0
Hyundai,i10,39000.0,63000.0,Citadine,Essence,Manuelle,4 cv,12.2021,no,essence,2021.0
KIA,Sportage,80000.0,22000.0,SUV,Essence,Automatique,8 cv,10.2018,no,essence,2018.0
Mitsubishi,ASX,48000.0,188000.0,SUV,Essence,Manuelle,9 cv,7.2012,no,essence,2012.0
Porsche,Panamera,150000.0,76000.0,Berline,Essence,Automatique,20 cv,8.2010,no,essence,2010.0
Dacia,Logan MCV,42500.0,75000.0,Monospace,Essence,Manuelle,5 cv,6.2020,no,essence,2020.0
KIA,Sportage,95000.0,118000.0,SUV,Essence,Automatique,11 cv,2.2021,no,essence,2021.0
Mercedes-Benz,CLA,147000.0,78000.0,Berline,Hybride rechargeable essence,Automatique,8 cv,10.2021,no,hybride,2021.0
Renault,Megane,57500.0,170000.0,Compacte,Diesel,Manuelle,5 cv,9.2020,no,diesel,2020.0
Mercedes-Benz,GLC Coupé,198000.0,73000.0,SUV,Hybride rechargeable essence,Automatique,12 cv,10.2021,no,hybride,2021.0
Mercedes-Benz,Classe A,127000.0,48000.0,Compacte,Hybride rechargeable essence,Automatique,8 cv,2.2021,no,hybride,2021.0
Mercedes-Benz,EQA,147000.0,50000.0,SUV,Electrique,Automatique,8 cv,7.2022,no,electrique,2022.0
Peugeot,3008,76000.0,115000.0,SUV,Essence,Manuelle,6 cv,3.2022,no,essence,2022.0
Mercedes-Benz,Classe A,125000.0,80000.0,Compacte,Hybride rechargeable essence,Automatique,8 cv,9.2021,no,hybride,2021.0
Mercedes-Benz,Classe A,169000.0,38000.0,Compacte,Hybride rechargeable essence,Automatique,8 cv,3.2024,no,hybride,2024.0
Land Rover,Range Rover Evoque,179000.0,98000.0,SUV,Hybride rechargeable essence,Automatique,11 cv,10.2022,no,hybride,2022.0
BMW,Série 5,189000.0,53000.0,Berline,Hybride rechargeable essence,Automatique,10 cv,4.2021,no,hybride,2021.0
Citroën,C3,47500.0,89000.0,Citadine,Essence,Manuelle,5 cv,2.2022,no,essence,2022.0
Volkswagen,T-Cross,69500.0,89000.0,SUV,Essence,Manuelle,6 cv,3.2020,no,essence,2020.0
Mercedes-Benz,Classe A,103000.0,118000.0,Compacte,Diesel,Automatique,6 cv,6.2021,no,diesel,2021.0
Mercedes-Benz,GLA,163000.0,72000.0,SUV,Hybride rechargeable essence,Automatique,8 cv,10.2021,no,hybride,2021.0
Peugeot,208,49500.0,58000.0,Citadine,Essence,Manuelle,5 cv,9.2022,no,essence,2022.0
Mercedes-Benz,Classe A,129000.0,80000.0,Compacte,Hybride rechargeable essence,Automatique,8 cv,7.2021,no,hybride,2021.0
Peugeot,2008,68500.0,143000.0,SUV,Diesel,Manuelle,5 cv,2.2021,no,diesel,2021.0
Renault,Clio,46500.0,158000.0,Citadine,Essence,Manuelle,5 cv,2.2022,no,essence,2022.0
BMW,Série 4 Gran Coupé,95000.0,108000.0,Berline,Essence,Automatique,7 cv,3.2017,no,essence,2017.0
Dacia,Sandero Stepway,43500.0,158000.0,SUV,Essence,Manuelle,5 cv,5.2020,no,essence,2020.0
Dongfeng,SX3,52000.0,117000.0,SUV,Essence,Manuelle,8 cv,10.2020,no,essence,2020.0
KIA,Sportage,44000.0,280000.0,SUV,Diesel,Manuelle,10 cv,11.2010,no,diesel,2010.0
BMW,X5,66000.0,270000.0,SUV,Diesel,Automatique,15 cv,11.2007,no,diesel,2007.0
BMW,Série 3,67000.0,128000.0,Berline,Essence,Automatique,7 cv,5.2014,no,essence,2014.0
Mercedes-Benz,Classe S,78000.0,169000.0,Berline,Essence,Automatique,15 cv,2.2008,no,essence,2008.0
BMW,Série 1,93000.0,43000.0,Compacte,Essence,Automatique,6 cv,9.2021,no,essence,2021.0
Volkswagen,Polo,35000.0,146500.0,Citadine,Essence,Manuelle,4 cv,5.2015,no,essence,2015.0
KIA,Sportage,117000.0,49000.0,SUV,Diesel,Automatique,8 cv,1.2021,no,diesel,2021.0
Volkswagen,Polo,48000.0,110000.0,Citadine,Essence,Manuelle,4 cv,5.2021,no,essence,2021.0
