model,model_encoded
107,25000.0
108,31000.0
147,28500.0
159,123456.0
2,39785.71428571428
2 Sedan,42000.0
2008,54486.32692307692
206,19415.384615384617
206 SW,50000.0
206+,22700.0
207,26412.5
207 CC,23000.0
208,36193.358695652176
220,158998.5
250,150000.0
3,47269.38888888889
3 sedan,48500.0
3-hybride,77950.0
3-portes,185900.0
3008,68420.68965517242
301,25319.115384615383
307,19400.0
308,46494.44117647059
308 GT,116995.0
308 SW,33000.0
4008,54750.0
406,24500.0
407,25500.0
407 SW,22500.0
408,141400.0
5,52461.58823529412
5-portes,171400.0
500,41330.0
500 C,59000.0
5008,78890.90909090909
500C,29000.0
500X,52325.0
508,45829.166666666664
6,45655.555555555555
7,124950.0
806,55000.0
A1,48500.0
A1 Sportback,62260.0
A3,55385.71428571428
A3 Berline,64050.0
A3 Sportback,97833.33333333333
A4,50259.52380952381
A5,81111.92307692308
A5 Cabriolet,65000.0
A5 Sportback,116633.33333333333
A6,68500.0
A7,275000.0
A7 Sportback,205000.0
AMG GT,100000.0
ASX,61500.0
Accent,49971.42857142857
Actyon,42514.28571428572
Actyon Sports,36500.0
Agya,36850.0
AlHambra,79500.0
Allroad,180000.0
Alpine A110,80000.0
Altea,67069.0
Altima,46000.0
Alto,33000.0
Amarok,76726.70588235294
Antara,49000.0
Arona,73636.36363636363
Arosa,71444.44444444444
Arrizo 3,32000.0
Arrizo 5,48400.0
Astra,39615.230769230766
Ateca,98428.57142857143
Attrage,32000.0
Autre,45000.0
Autres,59488.88888888889
Avensis,26000.0
Aveo,24291.583333333332
Aygo,32833.333333333336
BT-50,59840.25
Baleno,64061.25
Bayon,96450.0
Beetle,36000.0
Berlingo,45446.416666666664
Berlingo Utilitaire,48000.0
Berlingo Van,57333.333333333336
Bipper,43933.333333333336
Bipper Tepee,34500.0
Boxer,50200.0
Brio Amaze,32000.0
C-Elysée,27791.285714285714
C-HR,86188.1875
C-Max,22000.0
C1,25900.0
C15,140900.0
C2,20000.0
C3,34093.47826086957
C3 Aircross,56000.0
C3 Pluriel,19500.0
C3 Populaire,45000.0
C35,37590.90909090909
C4,34773.82608695652
C4 Aircross,65983.0
C4 Cactus,38573.333333333336
C4 Picasso,38300.0
C4 X,69900.0
C5,34005.555555555555
C5 Aircross,70000.0
CLA,137060.9756097561
CLE Coupé,316200.0
CLS,157666.66666666666
CR-V,97500.0
CX-3,81500.0
CX-5,58999.857142857145
CX-7,34000.0
CX-9,109300.0
CX7,34999.0
Cabrio,65000.0
Caddy,42575.0
Camaro,142300.0
Caprice,19500.0
Captiva,77166.66666666667
Captur,43916.666666666664
Capture,49934.25
Carens,42000.0
Cayenne,131295.06666666668
Cayman,260000.0
Cee'd,52000.0
Ceed,85666.66666666667
Celerio,36874.38461538462
Ceo,41000.0
Cerato,38743.0
Cerato KOUP,34200.0
Chairman,94000.0
Cherokee,88000.0
Ciaz,48333.333333333336
City,57137.5
Civic,67666.66666666667
Classe A,99692.97468354431
Classe A Berline,126625.0
Classe B,88150.0
Classe C,120607.18705035972
Classe C Coupe,79000.0
