iter	RMSE
0	45853.81248
1	45225.56661
2	44636.69694
3	44006.30047
4	43433.00912
5	42841.13218
6	42270.72788
7	41727.7151
8	41170.26108
9	40604.44244
10	40079.56052
11	39566.14147
12	39063.96612
13	38601.34378
14	38133.02794
15	37659.48049
16	38120.98744
17	36742.97048
18	36307.28845
19	36772.28169
20	36310.92878
21	35889.14431
22	35458.88336
23	35050.58541
24	33763.09058
25	33380.067
26	33010.90194
27	32638.52804
28	32286.13065
29	31929.13949
30	31609.73603
331	32092.5906
32	31744.49078
33	31405.42741
34	31092.85665
35	29984.99198
36	29685.39105
37	29401.31433
38	29124.84626
39	28832.97832
40	28543.7115
41	28272.92913
42	27991.58814
43	27716.9284
44	27444.57383
45	27198.76067
46	26941.76038
47	26690.17463
48	26435.66297
49	26194.74929
50	25960.48715
51	25735.82211
52	25516.84488
53	25301.13467
54	25098.54577
55	24879.76354
56	24675.4235
57	24485.10474
58	24287.73966
59	24112.03876
60	23922.18382661	23729.16646
62	23546.14284663	23374.71876664	23202.5880765	23829.23079
666	22880.50667667	22740.73787668	22579.5630169	23189.03928
70	23045.15539
71	22902.51416
72	22755.42419
73	21854.10832
74	21716.94327
75	21585.97428
76	21464.66672
77	21338.97731
78	21203.75702
79	21084.73517
80	20972.96488
81	20854.88648
82	20738.3553
83	20632.12685
84	20530.20233
85	20430.55746
86	20334.84604
87	20233.8053
88	20144.82644
89	20051.61898
90	19953.61026
91	19858.3005
92	19769.22819
93	19680.17449
94	19592.25734
95	19512.33548
96	19435.12001
97	19351.60533
98	19264.49501
99	19187.15399
100	19106.78655
101	19036.94287
102	18965.76489
103	18900.54098
104	18832.36336
105	18759.59848
106	18692.655
107107	19357.765108108	19297.05937
109	19231.681110110	19176.34654
111	19114.60074
112	19054.95097
113	18992.71846
114	18935.82385
115	18882.789
116	18832.608211117	18775.887741118	18721.021211119	18658.462051120	18614.435981121	18557.547241122	18507.931751123	18452.686571124	18403.129051125	18354.338891126	18308.504421127	18260.391881128	18206.773411129	18154.797921130	18111.781921131	18068.892591132	18028.790691133	17986.046791134	17945.434071135	17903.105871136	17863.680661137	17822.18686138	17085.21906
139	17048.41147
140	17711.174
14141	16964.134114142	16925.851014143	16895.988614144	16867.166145145	16829.454146146	16795.644147147	16760.52148	148	16731.96149149	16706.681150150	16680.520151151	16656.934152152	16627.679153153	16598.887154154	16561.479155155	16527.125156156	16499.973157157	16474.046158158	16446.093159159	16421.770160160	16391.684161161	16370.54556
162	16344.90662
163	16316.73898
164	16292.69023
165	16266.78678
166	16249.21788
167	16231.62625
168	16206.47368
169	16182.1716
170	16160.05884
171	16138.18895
172	16116.78057
173	16100.49306
174	16071.84281
175	16052.58737
176	16030.68885
177	16014.75517
178	15993.315179179	15979.665180180	15956.27562
181	15937.360182182	15917.49979
183	15897.78843
184	15878.49511
185	15850.64019
186	15834.74373
187	15816.0559
188	15799.40311
189	15778.47238
190	15763.98659
191	15748.14387
192	15731.16026
193	15715.69768
194	15699.14751
195	15677.71794
196	15654.11278
197	15641.84344
198	15621.22217
199	15606.33066
200	15586.81825
201	15571.826
202	15554.53352
203	15541.09616
204	15528.453
205	15517.2422
206	15499.06133
207	15485.05343
208	15463.91206
209	15448.85364
210	15437.25943
211	15420.63319
212	15408.86098
213	15395.74568
214	15384.93882
215	15368.21316
216	15354.77329
217	15346.50369
218	15333.50346
219	15317.32811
220	15306.38275
221	15294.74816
222	15283.4845
223	15276.28835
224	15264.67785
225	15251.54466
226	15241.79923
227	15231.91336
228	15221.11326
229	15211.71415
230	15201.44231	231	15186.2385
232	15176.17002
233	15165.74092
234	15149.03623235	15140.395123236	15130.832323237	15122.021123238	15113.70192239	15103.34391240	15768.60252
241	15754.97
242	15742.70559
243	15733.24865
244	15721.63404
245	15711.46473
246	15693.53066
247	15686.2879
248	15676.18805
249	15665.63786
250	15654.87526
251	15641.62106
252	15632.5984
253	15619.36352
254	15610.79226
255	15601.4598
256	15596.52709
257	15590.32217
258	15583.61657
259	15572.82269
260	15566.23198
261	15558.69147
262	15547.37245
263	15540.19204
264	15531.60384
265	15522.93332
266	15514.93519
267	15502.68487
268	15494.33551
269	15484.19299
270	15476.00645
271	15466.99681
272	15458.76887
273	15449.1957
274	15440.72565
275	15428.17057
276	15418.88295
277	15408.48988
278	15401.9545
279	15387.33179
280	15377.10695
281	15372.26686
282	15364.67582
283	15358.89732
284	15352.69719
285	15345.62967
286	15339.42088
287	15328.1483
288	15317.50537
289	15311.66392
290	15307.65145
291	15297.55763
292	15285.88995
293	15277.76394
294	15266.2935
295	15259.64029
296	15253.27671
297	15245.95786
298	15238.31409
299	15230.09498
300	15221.89409
301	15213.8953
302	15208.51731
303	15200.35202
304	15195.2465
305	15187.3881
306	15176.53374
307	15169.08965
308	15164.61871
309	15158.9529
310	15152.89075
311	15147.39422
312	15140.90408
313	15131.79191
314	15124.87121
315	15119.62321
316	15109.04901
317	15101.56632
318	15094.47
319	15084.84195
320	15078.24438
321	15067.72315
322	15062.28686
323	15052.44911
324	15047.72171
325	15043.84281
326	15033.74783
327	15027.41703
328	15020.38003
329	15014.61452
330	15007.5302
331	15001.23984
332	14996.20709
333	14991.096
334	14986.68981
335	14980.3585
336	14971.84319
337	14960.00833
338	14950.25197
339	14942.99582
340	14939.21439
341	14934.64436
342	14926.59315
343	14922.73656
344	14915.70814
345	14911.38917
346	14905.79263
347	14891.5378
348	14883.34732
349	14878.18444
350	14869.45623
351	14859.31102
352	14854.98158
353	14846.42563
354	14838.61275
355	14833.65265
356	14822.92036
357	14814.54598
358	14807.97714
359	14802.17798
360	14799.33384
361	14794.00874
362	14781.87453
363	14774.89153
364	14767.68229
365	14761.58209
366	14754.25929
367	14748.11385
368	14740.65267
369	14733.32019
370	14728.09832
371	14723.91875
372	14718.28742
373	14713.80586
374	14704.72877
375	14699.08024
376	14692.7067
377	14681.30461
378	14672.47927
379	14667.26657
380	14662.6467
381	14657.88485
382	14651.15847
383	14642.90084
384	14634.24562
385	14627.78939
386	14620.66564
387	14617.60152
388	14611.75804
389	14605.69973
390	14599.54355
391	14596.85758
392	14594.42629
393	14589.22072
394	14583.3795
395	14577.15459
396	14566.34095
397	14559.45065
398	14553.94753
399	14545.46035
400	14536.98035
401	14529.42737
402	14522.97837
403	14513.92904
404	14511.31967
405	14502.1116
406	14495.66876
407	14493.61831
408	14487.164
409	14481.32351
410	14476.88676
411	14472.96485
412	14467.6252
413	14461.5277
414	14456.3016
415	14452.02229
416	14444.72976
417	14440.2931
418	14435.14008
419	14430.82026
420	14422.16846
421	14416.25595
422	14412.55739
423	14406.86931
424	14398.10342
425	14392.93006
426	14389.41053
427	14383.37797
428	14374.21216
429	14370.2331
430	14364.87624
431	14361.24358
432	14355.69674
433	14350.18821
434	14344.33629
435	14337.14301
436	14328.83437
437	14323.43466
438	14316.35463
439	14309.57603
440	14304.65397
441	14299.06241
442	14292.98178
443	14286.86045
444	14284.12155
445	14280.14372
446	14271.78443
447	14264.36996
448	14259.7822
449	14252.83721
450	14243.06993
451	14237.55166
452	14233.94378
453	14229.51991
454	14222.68323
455	14218.24892
456	14212.58121
457	14206.11784
458	14200.47485
459	14197.09574
460	14189.44885
461	14184.97626
462	14181.18943
463	14172.50258
464	14171.69354
465	14167.1463
466	14161.03154
467	14155.18285
468	14146.34287
469	14143.15972
470	14138.94757
471	14136.07169
472	14128.5154
473	14124.48494
474	14121.6135
475	14114.96164
476	14110.16382
477	14105.31631
478	14100.46021
479	14095.19649
480	14090.20656
481	14084.92934
482	14080.63568
483	14075.93499
484	14071.03277
485	14061.5392
486	14057.99791
487	14054.13457
488	14049.36516
489	14045.59434
490	14040.92399
491	14036.74744
492	14032.48227
493	14029.58879
494	14024.25571
495	14016.59301
496	14013.79608
497	14010.70881
498	14005.49196
499	13998.75393
265.29859
4.63828
