iter	Passed	Remaining
0	56	28181
1	61	15224
2	64	10699
3	68	8498
4	70	6965
5	72	5986
6	74	5274
7	76	4732
8	80	4418
9	83	4096
10	86	3830
11	87	3577
12	90	3372
13	92	3220
14	95	3102
15	98	2980
16	101	2873
17	103	2761
18	105	2683
19	108	2609
20	112	2555
21	114	2488
22	116	2417
23	119	2362
24	121	2309
25	124	2267
26	127	2230
27	131	2209
28	134	2187
29	136	2138
30	138	2098
31	140	2059
32	143	2028
33	147	2016
34	149	1988
35	153	1978
36	156	1952
37	159	1944
38	162	1919
39	165	1904
40	169	1894
41	171	1871
42	174	1857
43	177	1836
44	179	1817
45	182	1798
46	185	1783
47	187	1768
48	190	1749
49	193	1738
50	195	1724
51	198	1706
52	200	1694
53	203	1678
54	205	1660
55	208	1649
56	210	1636
57	214	1632
58	217	1624
59	219	1610
60	221	1595
61	224	1584
62	228	1584
63	230	1569
64	233	1564
65	236	1554
66	240	1556
67	243	1547
68	247	1543
69	249	1531
70	251	1519
71	254	1510
72	256	1498
73	260	1500
74	263	1495
75	267	1491
76	270	1485
77	273	1481
78	276	1471
79	278	1462
80	281	1458
81	283	1447
82	285	1436
83	288	1427
84	290	1417
85	292	1408
86	294	1398
87	296	1388
88	298	1378
89	301	1373
90	304	1366
91	308	1369
92	313	1370
93	315	1364
94	318	1357
95	324	1366
96	327	1360
97	329	1353
98	335	1357
99	338	1354
100	341	1349
101	343	1340
102	345	1331
103	347	1324
104	351	1321
105	353	1314
106	356	1310
107	361	1313
108	368	1321
109	377	1337
110	389	1366
111	392	1361
112	400	1370
113	403	1365
114	406	1360
115	408	1353
116	410	1345
117	413	1338
118	415	1331
119	420	1330
120	422	1322
121	424	1314
122	427	1309
123	428	1300
124	431	1294
125	434	1289
126	436	1280
127	438	1273
128	439	1265
129	441	1256
130	443	1248
131	445	1242
132	447	1235
133	449	1227
134	451	1220
135	453	1212
136	454	1205
137	456	1197
138	457	1188
139	459	1181
140	462	1176
141	463	1167
142	465	1160
143	466	1153
144	468	1147
145	471	1142
146	473	1136
147	475	1130
148	476	1123
149	478	1116
150	480	1110
151	482	1104
152	484	1098
153	486	1092
154	488	1086
155	489	1080
156	491	1074
157	494	1069
158	495	1063
159	497	1057
160	499	1052
161	501	1046
162	503	1040
163	505	1035
164	507	1030
165	509	1024
166	511	1019
167	513	1014
168	514	1008
169	516	1003
170	518	998
171	520	992
172	522	986
173	523	981
174	525	976
175	527	971
176	529	966
177	531	961
178	533	9561179	535	9511180	538	948
181	540	944
182	543	940
183	544	935
184	546	930
185	548	925
186	550	920
187	552	916
188	554	911
189	555	906
190	557	901
191	559	897
192	561	892
193	562	887
194	564	882
195	565	877
196	567	872
197	569	868
198	570	863
199	572	859
200	574	854
201	576	850
202	578	846
203	579	841
204	581	837
205	583	833
206	585	828
207	587	824
208	589	820
209	590	816
210	592	812
211	594	807
212	596	803
213	597	799
214	599	794
215	601	790
216	603	786
217	605	782
218	606	778
219	608	774
220	610	770
221	611	766
222	613	762
223	615	757
224	616	753
225	618	749
226	620	745
227	621	741
228	623	737
229	625	734
230	627	7302231	628	726
232	630	722
233	632	718
234	633	7142235	635	7112236	637	7072237	638	7032238	640	6992239	641	695240	644	692
241	646	689
242	648	686
243	650	682
244	652	678
245	654	676
246	656	672
247	658	668
248	660	665
249	661	661
250	663	658
251	666	655
252	668	652
253	670	649
254	671	645
255	673	641
256	675	638
257	676	634
258	678	631
259	680	628
260	682	624
261	684	621
262	685	618
263	687	614
264	689	611
265	691	607
266	693	605
267	694	601
268	696	598
269	698	594
270	699	591
271	701	587
272	703	584
273	705	581
274	706	578
275	708	575
276	710	571
277	711	568
278	713	565
279	715	562
280	717	559
281	719	556
282	720	552
283	722	549
284	724	546
285	726	543
286	728	540
287	729	537
288	731	534
289	733	530
290	735	527
291	736	524
292	738	521
293	740	518
294	742	515
295	743	512
296	745	509
297	748	507
298	750	504
299	752	501
300	754	498
301	756	495
302	758	493
303	760	490
304	761	487
305	764	484
306	765	481
307	767	478
308	769	475
309	772	473
310	773	470
311	775	467
312	778	464
313	779	461
314	781	458
315	783	456
316	786	453
317	788	451
318	791	449
319	793	446
320	795	443
321	797	440
322	799	437
323	800	435
324	802	432
325	804	429
326	806	426
327	808	423
328	809	420
329	811	418
330	813	415
331	814	412
332	816	409
333	818	406
334	820	404
335	823	401
336	825	399
337	826	396
338	828	393
339	830	390
340	832	388
341	834	385
342	835	382
343	837	379
344	839	377
345	840	374
346	843	371
347	844	369
348	846	366
349	848	363
350	849	360
351	851	358
352	853	355
353	855	352
354	857	350
355	859	347
356	860	344
357	862	342
358	864	339
359	866	336
360	868	334
361	870	331
362	872	329
363	873	326
364	875	323
365	877	321
366	879	318
367	881	316
368	883	313
369	885	310
370	886	308
371	888	305
372	890	303
373	892	300
374	894	298
375	896	295
376	898	292
377	899	290
378	902	288
379	904	285
380	905	282
381	907	280
382	908	277
383	910	275
384	912	272
385	913	269
386	915	267
387	917	264
388	918	262
389	920	259
390	922	257
391	924	254
392	925	252
393	927	249
394	929	246
395	930	244
396	932	241
397	934	239
398	936	236
399	937	234
400	940	232
401	941	229
402	943	227
403	945	224
404	947	222
405	948	219
406	950	217
407	952	214
408	953	212
409	955	209
410	957	207
411	958	204
412	960	202
413	962	199
414	963	197
415	965	195
416	967	192
417	969	190
418	971	187
419	972	185
420	974	182
421	976	180
422	978	178
423	980	175
424	982	173
425	983	170
426	985	168
427	987	166
428	989	163
429	990	161
430	992	158
431	993	156
432	995	154
433	997	151
434	999	149
435	1000	146
436	1002	144
437	1004	142
438	1006	139
439	1008	137
440	1009	135
441	1011	132
442	1013	130
443	1015	128
444	1017	125
445	1018	123
446	1020	120
447	1022	118
448	1023	116
449	1025	113
450	1027	111
451	1028	109
452	1030	106
453	1032	104
454	1033	102
455	1035	99
456	1037	97
457	1039	95
458	1040	92
459	1042	90
460	1044	88
461	1046	86
462	1048	83
463	1049	81
464	1051	79
465	1053	76
466	1054	74
467	1056	72
468	1058	69
469	1059	67
470	1061	65
471	1063	63
472	1064	60
473	1065	58
474	1067	56
475	1068	53
476	1070	51
477	1071	49
478	1072	47
479	1074	44
480	1075	42
481	1077	40
482	1078	37
483	1080	35
484	1081	33
485	1083	31
486	1084	28
487	1086	26
488	1087	24
489	1089	22
490	1090	19
491	1092	17
492	1093	15
493	1095	13
494	1096	11
495	1098	8
496	1099	6
497	1101	4
498	1102	2
499	1104	0
	2
499	1128	0
