URL,Brand,Model,Option,Price,Temps de recharge normale (AC),Peinture,Vitres,Ciel de pavillon,Emissions de CO2,0-100 Km/h,Assistant de feux de route,Hauteur,Alerte de circulation transversale,Longueur,Kit sécurité,Fermeture centralisée,Marchepieds latéraux,Nombre de places,Affichage tête haute,Garantie,Autonomie électrique (NEDC),Arceau de benne,Aileron arrière,Autonomie électrique (WLTP),Détecteur de fatigue,Frein de stationnement,Fixations ISOFIX,Freinage,Lave Phares,Contrôle de stabilité anti-retournement,Consommation électrique (WLTP),Tapis de sol,Pack aérodynamique M,Lumières d'ambiance,Allumage automatique des feux,Airbags,Sièges,Surface de chargement,Train roulant,Contrôle de pression des pneus,Pneumatiques runflat,Couple,Toit,Instrumentation digitale,Différentiel autobloquant,Régulateur de vitesse,Alarme antivol,Nombre de portes,Volume du coffre,Kit éclairage,Nombre de moteurs électriques,Pédaliers,Surveillance d’angle mort,ABS,Puissance thermique (ch.din),Fermeture assistée des portes,Spoiler arrière,Charge utile,Sellerie,Conduite autonome,Ordinateur de bord,Direction assistée,Préparation pour téléphone,Boule d'attelage,Connectivité,Barres de toit,DSC,Bouton Start & Stop,Reconnaissance des panneaux,Finition intérieure,Jupes latérales,Aide au démarrage en côte,Puissance fiscale,Boîte,Système Start & Stop,Terrain Response,Pommeau de levier de vitesse,Seuils de portes,Sièges réglables en hauteur,Puissance (ch.din),Alerte de risque de collision,Aide au maintien dans la voie,Clé intelligente,Cloison entre cabine et compartiment arrière,Barre stabilisatrice,Launch Control,Kit carrosserie,Modes de conduite,Kit fumeurs,Batterie,Contrôle du roulis de la remorque,Jantes,Rétroviseur intérieur,Assistance au freinage,Suspension,Anti-démarrage électronique,Kit rangement,Ecran central,Alerte de franchissement de ligne,Portes en élytre,Voiture populaire,Tableau de bord,Baguettes extérieures d'encadrement des vitres,Calandre,Climatisation,Type de batterie,Pack Sport Chrono,Coffre à bagages,Vitres électriques,Couple électrique,Détecteur de pluie,Energie,Appuis têtes arrières,Largeur,Volume du coffre maximal,Puissance avec overboost (ch.din),Transmission,Volume du coffre avant,Porte bagages,Dynamic Response,Consommation mixte,Stores pare-soleil,Navigation,Rétroviseurs extérieurs,Capacité de recharge maximale (AC),Alimentation électrique,Sideblades,Carrosserie,Disponibilité,4 roues directrices,Connected Drive,Vitesse maxi,Autoradio,Caméra d'angle mort,Version pays chauds,Volant réglable,Limiteur de vitesse,Temps de recharge rapide (DC),Puissance électrique,Détection des piétons,Carte mains libres,Boulons de roues protégés,Système de récupération d'énergie,Nombre de cylindres,Volume utile,Volant,Rideau de benne,Feux à LED,Consommation urbaine,Nombre de rapports,Consommation extra-urbaine,Poignées de portes,Capot moteur actif,Caméra d'enregistrement de conduite,Système de descente en côte,Antibrouillards,Capote éléctrique,Anti-patinage,Phares,Aide au stationnement,Sorties d’échappement,Boîte à gants réfrigérée,Accoudoirs,Eléments extérieurs couleur carrosserie,Cylindrée
https://www.automobile.tn/fr/neuf/skoda/fabia/1.0-l-mpi-essence,skoda,fabia,1.0-l-mpi-essence,66 980 ,,,Athermiques,,116 g/km,15.5 s,,1482 mm,,4108 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux,,,,,,93 nm 3700 tr/min,,,,,,5,380 L,,,,,,,,,,Tissu,,,,,,2 USB-C | Bluetooth,,,,,,,,4 CV,Manuelle,,,Cuir,,Conducteur,80 CH,,,,,Avant,,,,,,,14'',,,,,Porte-lunettes,Tactile | 6.5 pouces,,,,,,Chromée,Manuelle,,,,Avant,,,Essence,3,1780 mm,,,Traction,,,,5.1 L/100 km,,,Électriques | Dégivrants,,,,Citadine,Disponible,,,178 KM/H,SWING | 4 haut-parleurs,,,En hauteur et en profondeur,,,,,,,,3,,Multi-fonctions,,Feux de jour,6 L/100 km,5,4.3 L/100 km,,,,,,,ESP,LED,,,,Avant,Pare-chocs | Poignées de portes | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/fabia/1.0-l-mpi-selection,skoda,fabia,1.0-l-mpi-selection,72 980 ,,,Athermiques,,116 g/km,15.5 s,,1482 mm,,4108 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux | Latéraux,Réglage lombaire,,,,,93 nm 3700 tr/min,,,,,,5,380 L,,,,,,,,,,Tissu,,,,,,2 USB-C | Bluetooth,,,Démarrage mains libres,,,,,4 CV,Manuelle,,,Cuir,,Conducteur et passager,80 CH,,,Accès mains libres,,Avant,,,,,,,En aluminium | 15'',,,,,Porte-lunettes,Tactile | 6.5 pouces,,,,,,Chromée,Manuelle,,,,Avant/Arrière,,,Essence,3,1780 mm,,,Traction,,,,5.1 L/100 km,,,Électriques | Dégivrants,,,,Citadine,Disponible,,,178 KM/H,SWING | 4 haut-parleurs,,,En hauteur et en profondeur,,,,,,,,3,,Cuir | Multi-fonctions,,Feux de jour | Arrières,6 L/100 km,5,4.3 L/100 km,,,,,,,ESP,LED,Radar de recul,,,Avant,Pare-chocs | Poignées de portes | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/fabia/1.0-l-mpi-monte-carlo,skoda,fabia,1.0-l-mpi-monte-carlo,85 980 ,,,Athermiques,,116 g/km,15.5 s,,1482 mm,,4108 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux | Latéraux,Réglage lombaire | Sport,,,,,93 nm 3700 tr/min,Panoramique,Virtual Cockpit,,,,5,380 L,,,,,,,,,,Tissu,,,,,,2 USB-C | Bluetooth | SmartLink,,,Démarrage mains libres,,,,,4 CV,Manuelle,,,Cuir,Chromés,Conducteur et passager,80 CH,,,Accès mains libres,,Avant,,Sport,,,,,En aluminium | 16'',Anti-éblouissement,,,,Porte-lunettes,Tactile | 8 pouces,,,,,,Noire,Automatique,,,,Avant/Arrière,,,Essence,3,1780 mm,,,Traction,,,,5.1 L/100 km,,,Électriques | Dégivrants | Noirs,,,,Citadine,Disponible,,,178 KM/H,SWING | 6 haut-parleurs,,,En hauteur et en profondeur,,,,,,,,3,,Cuir | Multi-fonctions | Sport,,Feux de jour | Arrières,6 L/100 km,5,4.3 L/100 km,,,,,,,ESP,LED,Radar de recul,,,Avant,Pare-chocs | Poignées de portes | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/kushaq/1.0-tsi-ambition,skoda,kushaq,1.0-tsi-ambition,78 980 ,,,Athermiques,,,10.8 s,,1612 mm,,4221 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux,,,,,,178 nm 1750 tr/min,,,,,,5,385 L,,,,,,,,,,Tissu,,,,,,2 USB-C | Android Auto | Apple Carplay | Bluetooth,,,,,,,,6 CV,Manuelle,,,Cuir,Baguettes dans les baies de porte,Conducteur,116 CH,,,,,,,,,,,,En aluminium | 16'',,,,,Poches aumônières | Porte-lunettes,Tactile | 10 pouces,,,,,Noir Brillant,,Automatique,,,,Avant/Arrière,,,Essence,3,1760 mm,,,Traction,,,,5.2 L/100 km,,,Électriques | Rabattables,,1 prise 12 V,,SUV,Sur arrivage,,,189 KM/H,6 haut-parleurs | Commandes au volant,,,En hauteur et en profondeur,,,,,,,,3,,Cuir | Multi-fonctions,,Avant,6.7 L/100 km,6,4.5 L/100 km,,,,,,,ESP,LED,Radar de recul | Caméra de recul,,,Avant | Arrière,Pare-chocs | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/kushaq/1.0-tsi-bva-ambition,skoda,kushaq,1.0-tsi-bva-ambition,85 980 ,,,Athermiques,,,10.8 s,,1612 mm,,4221 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux,,,,,,178 nm 1750 tr/min,,,,,,5,385 L,,,,,,,,,,Tissu,,,,,,2 USB-C | Android Auto | Apple Carplay | Bluetooth,,,,,,,,7 CV,Automatique,,,Cuir,Baguettes dans les baies de porte,Conducteur,116 CH,,,,,,,,,,,,En aluminium | 16'',,,,,Poches aumônières | Porte-lunettes,Tactile | 10 pouces,,,,,Noir Brillant,,Automatique,,,,Avant/Arrière,,,Essence,3,1760 mm,,,Traction,,,,5.2 L/100 km,,,Électriques | Rabattables,,1 prise 12 V,,SUV,Sur arrivage,,,189 KM/H,6 haut-parleurs | Commandes au volant,,,En hauteur et en profondeur,,,,,,,,3,,Cuir | Multi-fonctions | Avec palettes,,Avant,6.7 L/100 km,6,4.5 L/100 km,,,,,,,ESP,LED,Radar de recul | Caméra de recul,,,Avant | Arrière,Pare-chocs | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/kushaq/1.0-tsi-bva-style,skoda,kushaq,1.0-tsi-bva-style,92 980 ,,,Athermiques,,,10.8 s,,1612 mm,,4221 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux | Latéraux | Protège-tête,Ventilés,,,,,178 nm 1750 tr/min,Ouvrant | En verre,,,,,5,385 L,,,,,,,,,,Similicuir,,,,,,2 USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,,,,,,,,7 CV,Automatique,,,Cuir,Baguettes dans les baies de porte,Conducteur,116 CH,,,Accès mains libres,,,,,,,,,En aluminium | 17'',Anti-éblouissement,,,,Poches aumônières | Porte-lunettes,Tactile | 10 pouces,,,,,Noir Brillant,,Automatique,,,,Avant/Arrière,,,Essence,3,1760 mm,,,Traction,,,,5.2 L/100 km,,,Électriques | Rabattables,,1 prise 12 V,,SUV,Sur arrivage,,,189 KM/H,6 haut-parleurs | Commandes au volant | Subwoofer,,,En hauteur et en profondeur,,,,,,,,3,,Cuir | Multi-fonctions | Avec palettes,,Avant | Arrières,6.7 L/100 km,6,4.5 L/100 km,,,,,,,ESP,LED,Radar de recul | Caméra de recul,,,Avant | Arrière,Pare-chocs | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/scala/1.0-l-tsi-dsg-essence,skoda,scala,1.0-l-tsi-dsg-essence,86 980 ,,,Athermiques,,,10.1 s,,1514 mm,,4362 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux | Latéraux,,,,,,200 nm 2000 tr/min,,,,,,5,467 L,,,,,,,,,,Tissu,,,,,,USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink,,,,,,,,6 CV,Automatique,,,Cuir,,Conducteur et passager,116 CH,,,,,Avant,,,,,,,En aluminium | 16'',,,,,,Tactile | 8.25 pouces,,,,,,Chromée,Manuelle,,,,Avant/Arrière,,,Essence,,1793 mm,,,Traction,,,,5.4 L/100 km,,,Électriques | Dégivrants,,,,Compacte,Sur arrivage,,,202 KM/H,8 haut-parleurs,,,,,,,,,,,3,,Multi-fonctions,,Avant | Arrières,6.9 L/100 km,7,4.7 L/100 km,,,,,,,ESP,LED,Radar de recul,,,Avant,Pare-chocs | Poignées de portes | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/scala/1.0-l-tsi-dsg-selection,skoda,scala,1.0-l-tsi-dsg-selection,100 980 ,,,Athermiques,,,10.1 s,,1514 mm,,4362 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux | Latéraux,Réglage lombaire,,,,,200 nm 2000 tr/min,Panoramique | En verre,10.25 pouces | Virtual Cockpit,,,,5,467 L,,,,,,,,,,Tissu,,,,,,USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink | Chargeur de téléphone sans fil,,,Démarrage mains libres,,,,,6 CV,Automatique,,,Cuir,,Conducteur et passager,116 CH,,,Accès mains libres,,Avant,,,Normal | Sport | Eco,,,,En aluminium | 17'',Anti-éblouissement,,,,,Tactile | 8.25 pouces,,,,,Chrome,Chromée,Automatique,,,Ouverture mains libres,Avant/Arrière,,,Essence,,1793 mm,,,Traction,,,,5.4 L/100 km,,,Électriques | Rabattables | Dégivrants | Photosensibles,,,,Compacte,Sur arrivage,,,202 KM/H,8 haut-parleurs,,,En hauteur et en profondeur,,,,,,,,3,,Cuir | Multi-fonctions | Avec palettes,,Avant | Arrières | Clignotants à défilement,6.9 L/100 km,7,4.7 L/100 km,,,,,,,ESP,Matrix LED,Radar de recul | Radar avant | Caméra de recul,,,Avant,Pare-chocs | Poignées de portes | Rétroviseurs,999 CM³
https://www.automobile.tn/fr/neuf/skoda/scala/1.0-l-tsi-dsg-monte-carlo,skoda,scala,1.0-l-tsi-dsg-monte-carlo,109 980 ,,,Athermiques,,,10.1 s,,1514 mm,,4362 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux | Latéraux,Réglage lombaire | Sport,,,,,200 nm 2000 tr/min,Panoramique | En verre,10.25 pouces | Virtual Cockpit,,,Anti-soulèvement,5,467 L,,,,,,,,,,Tissu,,,,,,USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink | Chargeur de téléphone sans fil,,,Démarrage mains libres,,,,,6 CV,Automatique,,,Cuir,Baguettes dans les baies de porte,Conducteur et passager,116 CH,,,Accès mains libres,,Avant,,Monte-Carlo,Normal | Sport | Eco,,,,En aluminium | 17'',Anti-éblouissement,,,,,Tactile | 8.25 pouces,,,,,Noir Brillant,Noire,Automatique,,,Ouverture mains libres,Avant/Arrière,,,Essence,,1793 mm,,,Traction,,,,5.4 L/100 km,,,Électriques | Rabattables | Dégivrants | Photosensibles | Noirs,,,,Compacte,Sur arrivage,,,202 KM/H,8 haut-parleurs,,,En hauteur et en profondeur,,,,,,,,3,,Cuir | Multi-fonctions | Sport | Avec palettes,,Avant | Arrières | Clignotants à défilement,6.9 L/100 km,7,4.7 L/100 km,,,,,,,ESP,Matrix LED,Radar de recul | Radar avant | Caméra de recul,,,Avant,Pare-chocs | Poignées de portes,999 CM³
https://www.automobile.tn/fr/neuf/skoda/kamiq/1.0-l-tsi-dsg-essence,skoda,kamiq,1.0-l-tsi-dsg-essence,89 980 ,,,Athermiques,,,10.2 s,,1562 mm,,4241 mm,,À distance,,5,,3 ans,,,,,,,,,,,,,,,,Frontaux | Latéraux,,,,,,200 nm 2000 tr/min,,,,,,5,400 L,,,,,,,,,,Tissu,,,,,,USB-C | Bluetooth | SmartLink,Noires,,,,,,,6 CV,Automatique,,,Cuir,,Conducteur et passager,116 CH,,,,,Avant,,,,,,,En aluminium | 16'',,,,,,Tactile,,,,,,Chromée,Manuelle,,,,Avant/Arrière,,,Essence,,1793 mm,,,Traction,,,,5.7 L/100 km,,,Électriques | Dégivrants,,,,SUV,Sur arrivage,,,195 KM/H,8 haut-parleurs,,,En hauteur et en profondeur,,,,,,,,3,,Multi-fonctions,,Avant | Arrières,,7,,,,,,,,ESP,LED,Radar de recul,,,Avant,Poignées de portes | Rétroviseurs,999 CM³
