URL,Price,Intérieurs - Chargeur CD,Intérieurs - Autoradio CD,Sécurité - Airbags rideaux,Fonctionnels - Climatisation automatique,Spécifications - Nombre de portes,Intérieurs - Sièges massants,Intérieurs - Autoradio CD/Mp3,Intérieurs - 3 appuis têtes arrières,Extérieurs - Coffre électrique,Sécurité - ABS,Intérieurs - Sièges réglables en hauteur,Extérieurs - Radar de recul,Sécurité - Fixations ISOFIX,Carrosserie,Extérieurs - Toit panoramique,Motorisation - Énergie,Sécurité - Anti-démarrage électronique,Intérieurs - Sièges sport,Fonctionnels - Direction assistée,Fonctionnels - Vitres électriques,Sécurité - Radiateur tropicalisé,Extérieurs - Jantes en alliage,Spécifications - Modèle,Motorisation - Transmission,Énergie,Date de l'annonce,Intérieurs - Accoudoir arrière,Extérieurs - Caméras 360,Fonctionnels - Allumage automatique des feux,"Intérieurs - Connectivité Aux, usb, iPod",Intérieurs - Android Auto,Anciens propriétaires,Extérieurs - Feux à LED,Sécurité - Contrôle de pression des pneus,Fonctionnels - Rétroviseurs rabattables,Spécifications - Couleur intérieure,Sécurité - Airbags frontaux,Motorisation - Puissance cumulée,Intérieurs - Sièges ventilés,Intérieurs - Autoradio,Transmission,Puissance fiscale,Fonctionnels - Parkassist,Mise en circulation,Extérieurs - Toit ouvrant,Extérieurs - Phares Full LED,Intérieurs - Apple Carplay,Intérieurs - Volant réglable hauteur/profondeur,Extérieurs - Vitres teintées,Spécifications - Sellerie,Motorisation - Puissance,Intérieurs - Sièges électriques,Fonctionnels - Climatisation,Boite vitesse,Gouvernorat,Spécifications - Nombre de places,Fonctionnels - Suspension pneumatique,Extérieurs - Lave Phares,Extérieurs - Peinture métallisée,Sécurité - Anti-patinage,Motorisation - Moteur,Intérieurs - Boîte à gants réfrigérée,Extérieurs - Phares au xénon,Sécurité - Airbags latéraux,Fonctionnels - Ordinateur de bord,Spécifications - Génération,Spécifications - Couleur extérieure,Intérieurs - Volant/levier de vitesse en cuir,Intérieurs - Navigation,Spécifications - Carrosserie,Fonctionnels - Régulateur de vitesse,Motorisation - Puissance thermique,Motorisation - Boite vitesse,Spécifications - Marque,Sécurité - Alarme anti-intrusion,Intérieurs - Accoudoir avant,Kilométrage,Fonctionnels - Rétroviseurs électriques,Motorisation - Cylindrée,Intérieurs - Sièges chauffants,Intérieurs - Instrumentation numérique,Extérieurs - Caméra de recul,État général,Fonctionnels - Accès sans clé,Intérieurs - Bluetooth,Intérieurs - Volant multi-fonctions,Motorisation - Puissance fiscale,Intérieurs - Volant chauffant,Sécurité - Pneumatiques runflat,Fonctionnels - Bouton Start & Stop,Fonctionnels - Conduite semi-autonome,Fonctionnels - Fermeture centralisée,Fonctionnels - Détecteur de pluie,Intérieurs - Palettes au volant,Intérieurs - Vitres teintées,Intérieurs - Affichage tête haute,Extérieurs - Antibrouillards
https://www.automobile.tn/fr/occasion/great-wall/jolion/120671,78000.0,No,Yes,Yes,Yes,5,No,Yes,No,No,Yes,No,Yes,Yes,SUV,Yes,Essence,Yes,No,Yes,Yes,No,Yes,Haval Jolion,Traction,Essence,22.11.2025,Yes,Yes,Yes,Yes,Yes,2ème main,Yes,Yes,Yes,Beige,Yes,No,No,Yes,Traction,9 cv,No,07.2021,Yes,Yes,Yes,No,No,Similicuir,143 ch dyn,No,No,Automatique,Kasserine,5,No,Yes,Yes,No,1.5 T,No,Yes,Yes,Yes,Phase 1 06/2021 - 08/2024,Noir,Yes,Yes,SUV,Yes,No,Automatique,GWM,Yes,Yes,113 000 km,Yes,1479 cm³,Yes,Yes,Yes,Très bon,Yes,Yes,Yes,9 cv,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
https://www.automobile.tn/fr/occasion/audi/a6/119994,75000.0,Yes,Yes,Yes,Yes,4,No,Yes,Yes,No,Yes,Yes,Yes,No,Berline,No,Essence,Yes,No,Yes,Yes,Yes,Yes,A6,Traction,Essence,22.11.2025,Yes,No,Yes,Yes,No,1ère main,Yes,Yes,Yes,Beige,Yes,No,No,Yes,Traction,10 cv,No,01.2016,No,Yes,No,Yes,Yes,Cuir intégral,No,Yes,Yes,Automatique,Ariana,5,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Noir,Yes,No,Berline,Yes,No,Automatique,Audi,No,Yes,160 000 km,Yes,1798 cm³,No,No,Yes,Très bon,No,Yes,Yes,10 cv,No,No,Yes,No,Yes,Yes,No,Yes,No,No
https://www.automobile.tn/fr/occasion/mercedes-benz/gle-coupe/119489,460000.0,No,No,No,No,5,No,No,No,No,No,No,No,No,SUV,No,Hybride rechargeable essence,No,No,No,No,No,No,GLE Coupé,Intégrale,Hybride rechargeable essence,22.11.2025,No,No,No,No,No,1ère main,No,No,No,Noir,No,381 ch dyn,No,No,Intégrale,15 cv,No,01.2025,No,No,No,No,No,Cuir intégral,No,No,No,Automatique,Ariana,5,No,No,No,No,400 e 2.0 Ti 16V 381 EQ Power 4MATIC 9G-TRONIC,No,No,No,No,(W167) Coupé 11/2019 - Aujourd'hui,Noir,No,No,SUV,No,252 ch dyn,Automatique,Mercedes-Benz,No,No,15 000 km,No,1999 cm³,No,No,No,Très bon,No,No,No,15 cv,No,No,No,No,No,No,No,No,No,No
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/120324,118000.0,No,No,Yes,No,5,Yes,No,No,Yes,Yes,No,Yes,Yes,Berline,No,Diesel,Yes,Yes,No,No,Yes,No,Classe E,Propulsion,Diesel,22.11.2025,Yes,Yes,No,No,Yes,1ère main,Yes,Yes,No,Beige,Yes,No,No,No,Propulsion,10 cv,No,10.2016,No,Yes,Yes,No,Yes,Cuir partiel,194 ch dyn,No,No,Automatique,Ariana,5,No,Yes,No,Yes,220 d L 2.0 d 16V 9G-TRONIC,No,Yes,Yes,No,(213) Berline 01/2016 - 06/2020,Noir,No,No,Berline,No,No,Automatique,Mercedes-Benz,Yes,Yes,140 000 km,No,1999 cm³,Yes,No,No,Très bon,No,No,No,10 cv,No,Yes,Yes,No,No,No,No,No,No,Yes
https://www.automobile.tn/fr/occasion/chevrolet/groove/120528,68000.0,No,Yes,No,Yes,5,No,Yes,No,No,Yes,Yes,Yes,No,SUV,Yes,Essence,Yes,No,Yes,Yes,No,Yes,Groove,Traction,Essence,22.11.2025,No,No,Yes,No,Yes,1ère main,Yes,Yes,Yes,Noir,Yes,No,No,Yes,Traction,6 cv,No,05.2022,Yes,No,Yes,No,Yes,Tissu,106 ch dyn,No,No,Automatique,Tunis,5,No,No,No,No,1.5 L,No,No,Yes,Yes,01/2022 - Aujourd'hui,Blanc,Yes,No,SUV,Yes,No,Automatique,Chevrolet,Yes,Yes,67 000 km,Yes,1485 cm³,No,No,Yes,Très bon,Yes,Yes,No,6 cv,No,No,Yes,No,Yes,No,No,Yes,No,Yes
https://www.automobile.tn/fr/occasion/skoda/fabia/120516,47000.0,No,No,No,Yes,5,No,No,No,No,No,No,No,No,Citadine,No,Essence,No,No,No,Yes,No,No,Fabia,Traction,Essence,22.11.2025,No,No,No,Yes,No,1ère main,No,No,No,Noir,No,No,No,No,Traction,4 cv,No,05.2022,No,No,No,No,No,Tissu,95 ch dyn,No,No,Manuelle,Tunis,5,No,No,No,No,1.0 TSi 12V,No,No,No,Yes,IV 06/2021 - Aujourd'hui,Gris argent,No,No,Citadine,No,No,Manuelle,Skoda,No,No,115 000 km,Yes,cm³,No,No,No,Très bon,No,Yes,Yes,4 cv,No,No,No,No,Yes,No,Yes,No,No,No
https://www.automobile.tn/fr/occasion/bmw/serie-1-5p/120514,44000.0,No,Yes,Yes,Yes,5,No,No,No,No,Yes,Yes,No,Yes,Compacte,No,Essence,No,Yes,Yes,Yes,Yes,No,Série 1,Propulsion,Essence,22.11.2025,No,No,No,No,No,1ère main,No,Yes,No,Beige,Yes,No,No,Yes,Propulsion,7 cv,No,05.2013,No,No,No,Yes,No,Similicuir,102 ch dyn,No,No,Manuelle,Tunis,5,No,No,No,Yes,114i 1.6 i 16V,No,No,Yes,Yes,(F20) 5 portes 07/2011 - 02/2015,Noir,No,No,Compacte,No,No,Manuelle,BMW,No,Yes,180 000 km,Yes,1598 cm³,No,No,No,Très bon,No,No,Yes,7 cv,No,Yes,Yes,No,Yes,No,No,No,No,No
https://www.automobile.tn/fr/occasion/citroen/c4-cactus/120513,42000.0,No,No,No,Yes,5,No,No,Yes,No,No,No,Yes,No,Compacte,No,Essence,No,No,No,Yes,No,No,C4 Cactus,Traction,Essence,22.11.2025,No,No,No,Yes,No,1ère main,Yes,No,No,Gris,No,No,No,No,Traction,5 cv,No,05.2019,No,No,No,No,No,Tissu,110 ch dyn,No,No,Manuelle,Tunis,5,No,No,No,No,1.2 e-THP 12V,No,No,No,Yes,05/2014 - 11/2017,Gris argent,No,No,Compacte,No,No,Manuelle,Citroën,No,No,98 000 km,Yes,1199 cm³,No,No,No,Très bon,No,Yes,Yes,5 cv,No,No,No,No,Yes,No,Yes,No,No,No
https://www.automobile.tn/fr/occasion/kia/k2700/120010,44000.0,No,No,No,No,2,No,No,No,No,No,No,Yes,No,Pick up,No,Diesel,No,No,No,Yes,No,No,K2700,Intégrale,Diesel,22.11.2025,No,No,No,No,No,1ère main,No,No,No,Noir,No,No,No,No,Intégrale,8 cv,No,05.2013,No,No,No,No,No,Similicuir,No,No,Yes,Manuelle,Tunis,2,No,No,No,No,No,No,No,No,No,No,Blanc,No,No,Pick up,No,No,Manuelle,KIA,No,No,120 000 km,No,cm³,No,No,No,Très bon,No,No,No,8 cv,No,No,No,No,Yes,No,No,No,No,No
https://www.automobile.tn/fr/occasion/volkswagen/golf-6/120009,46000.0,No,Yes,Yes,No,5,No,Yes,Yes,No,Yes,No,No,Yes,Compacte,No,Essence,Yes,No,Yes,Yes,No,Yes,Golf 6,Traction,Essence,22.11.2025,No,No,No,No,No,1ère main,No,No,No,Marron,Yes,No,No,Yes,Traction,5 cv,No,05.2012,No,No,No,No,No,Tissu,80 ch dyn,No,Yes,Manuelle,Tunis,5,No,No,No,Yes,1.4 i 16V,No,No,Yes,Yes,VI 5 Portes 10/2008 - 12/2015,Noir,No,No,Compacte,No,No,Manuelle,Volkswagen,No,Yes,146 000 km,Yes,1390 cm³,No,No,No,Très bon,No,No,No,5 cv,No,No,No,No,Yes,No,No,No,No,No
https://www.automobile.tn/fr/occasion/volkswagen/golf-7/119033,69000.0,No,Yes,Yes,Yes,5,No,Yes,Yes,No,Yes,No,Yes,Yes,Compacte,No,Essence,Yes,No,Yes,Yes,Yes,Yes,Golf 7,Traction,Essence,22.11.2025,No,No,Yes,No,No,1ère main,Yes,Yes,Yes,Noir,Yes,No,No,Yes,Traction,6 cv,No,09.2020,No,No,No,Yes,No,Tissu,110 ch dyn,No,No,Automatique,Tunis,5,No,No,No,Yes,1.2 TSI 16V DSG7,Yes,No,Yes,Yes,VII Phase 2 5 Portes 11/2016 - 01/2021,Noir,Yes,No,Compacte,Yes,No,Automatique,Volkswagen,No,Yes,132 000 km,Yes,1197 cm³,No,No,Yes,Très bon,No,Yes,Yes,6 cv,No,No,No,No,Yes,Yes,No,No,No,Yes
https://www.automobile.tn/fr/occasion/kia/picanto/119268,45000.0,No,Yes,No,No,5,No,Yes,No,No,Yes,Yes,Yes,Yes,Citadine,No,Essence,Yes,No,Yes,Yes,No,Yes,Picanto,Traction,Essence,22.11.2025,No,No,Yes,No,No,1ère main,Yes,No,No,Noir,Yes,No,No,Yes,Traction,5 cv,No,05.2022,No,No,Yes,No,Yes,Tissu,84 ch dyn,No,Yes,Manuelle,Tunis,5,No,No,Yes,No,1.2 DPI 16V ISG,No,No,No,Yes,(JA) Phase 2 07/2020 - Aujourd'hui,Blanc,No,No,Citadine,No,No,Manuelle,KIA,No,No,90 000 km,Yes,1197 cm³,No,No,Yes,Très bon,No,Yes,Yes,5 cv,No,No,No,No,Yes,No,No,Yes,No,Yes
