Marque,Modèle,Price,Puissance fiscale,Carburant,Boite,Kilométrage,Type de carrosserie,Année
Mercedes-Benz,Classe CLA,85000,7,Essence,Automatique,146000,Berline,2018
BMW,Serie 3,52500,7,Essence,Manuelle,170,Berline,2014
Land Rover,Range Rover Sport,175000,43,Essence,Automatique,196000,4 x 4,2016
Ford,Super Duty,52000,7,Essence,Automatique,119000,Berline,2021
Dacia,Dokker,22500,6,Diesel,Manuelle,250000,Compacte,2014
Land Rover,Range Rover Evoque,104000,8,Essence,Automatique,146000,Berline,2015
Mercedes-Benz,Classe C Coupe,55000,9,Essence,Automatique,162000,Berline,2011
Toyota,Corolla verso,73000,6,Essence,Automatique,49900,Compacte,2021
Peugeot,301,22000,5,Essence,Manuelle,209000,,2013
Audi,A6,30500,11,Essence,Automatique,213000,Berline,2009
Hyundai,Kona,85000,6,Hybride essence,Manuelle,59400,4 x 4,2022
Porsche,Panamera,160000,20,Essence,Automatique,76000,Berline,2010
Kia,Cerato,28000,7,Essence,Manuelle,200000,Berline,2010
Opel,Astra,14500,,,Manuelle,,,
Land Rover,Range Rover Evoque,75000,11,Diesel,Automatique,240000,4 x 4,2014
Peugeot,Partner,32000,6,Essence,Manuelle,236000,Autres,2009
Porsche,Cayman,260000,15,Essence,Automatique,80000,4 x 4,2020
Kia,Rio,38000,5,Essence,,140000,Compacte,2016
Hyundai,I 20,48800,5,Essence,Manuelle,103,Autres,2022
Hyundai,I 20,48800,5,Essence,Manuelle,103,Autres,2022
Toyota,Yaris,52000,4,Essence,Manuelle,48460,Compacte,
Fiat,500C,29000,4,Essence,Manuelle,176000,Compacte,2011
Fiat,500C,29000,4,Essence,Manuelle,176000,Compacte,2011
Volkswagen,Polo,48500,5,Essence,Manuelle,58000,Berline,2016
Nissan,Qashqai,43500,6,Essence,Automatique,160000,4 x 4,2012
Suzuki,Celerio,31500,4,Essence,Manuelle,53000,Compacte,2019
Volkswagen,Passat,65000,7,Essence,Manuelle,64,Berline,2017
Mercedes-Benz,Classe E,32000,9,Diesel,Manuelle,276000,Berline,2002
Peugeot,5008,85000,6,Diesel,Automatique,192000,Monospace,2017
Dacia,Sandero,53000,4,Diesel,Manuelle,19800,Compacte,2021
Volkswagen,T-ROC,96500,6,Essence,Manuelle,99000,4 x 4,99000
Citroen,Jumpy,57000,6,Diesel,Automatique,0,Utilitaire,2020
Seat,Ibiza,36000,4,Essence,Manuelle,132000,Autres,2017
